Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,0 ctrk
Number of Events,1060
 
Time,Value
17,1.657798E-02
17.05,2.474964E-02
17.1,3.914932E-02
17.15,6.263956E-02
17.2,0.0790722
17.25,9.288789E-02
17.3,8.692227E-02
17.35,7.129833E-02
17.4,5.455369E-02
17.45,5.084369E-02
17.5,5.667114E-02
17.55,4.621487E-02
17.6,1.438823E-02
17.65,-2.217867E-02
17.7,-3.561934E-02
17.75,-4.426429E-02
17.8,-2.674525E-02
17.85,-1.117251E-02
17.9,-1.801522E-02
17.95,-5.964382E-02
18,-8.412548E-02
18.05,-8.751436E-02
18.1,-8.049213E-02
18.15,-5.162217E-02
18.2,-1.867134E-02
18.25,1.065094E-02
18.3,4.268235E-03
18.35,-4.714484E-03
18.4,1.475429E-02
18.45,3.874231E-02
18.5,6.028469E-02
18.55,7.248707E-02
18.6,6.144041E-02
18.65,3.038456E-02
18.7,3.211858E-03
18.75,-1.006494E-02
18.8,-1.923888E-02
18.85,-3.375179E-02
18.9,-0.0488234
18.95,-5.914486E-02
19,-6.818679E-02
19.05,-6.201611E-02
19.1,-4.383105E-02
19.15,-2.561718E-02
19.2,6.962144E-03
19.25,3.177241E-02
19.3,4.869615E-02
19.35,4.466475E-02
19.4,9.734501E-03
19.45,-2.841239E-02
19.5,-6.916817E-02
19.55,-0.0793517
19.6,-8.068851E-02
19.65,-7.501001E-02
19.7,-9.388622E-02
19.75,-0.1198111
19.8,-0.1262511
19.85,-8.624985E-02
19.9,-2.168244E-02
19.95,3.419795E-02
20,5.221176E-02
20.05,2.830358E-02
20.1,-2.876012E-02
20.15,-8.397576E-02
20.2,-9.792157E-02
20.25,-7.671939E-02
20.3,-4.688514E-02
20.35,-0.023198
20.4,-2.411618E-02
20.45,-6.127235E-02
20.5,-9.177756E-02
20.55,-3.615548E-02
20.6,0.1685226
20.65,0.4098152
20.7,0.5255065
20.75,0.4606975
20.8,0.26926
20.85,0.0641757
20.9,-5.302365E-02
20.95,-4.428276E-02
21,1.751532E-02
21.05,0.0463101
21.1,5.781687E-02
21.15,4.523487E-02
21.2,3.976703E-02
21.25,4.725257E-02
21.3,5.202946E-02
21.35,5.393554E-02
21.4,4.129206E-02
21.45,0.0215201
21.5,-6.608384E-03
21.55,-3.233441E-02
21.6,-3.853452E-02
21.65,-3.747961E-02
21.7,-2.949339E-02
21.75,-1.712066E-02
21.8,-0.0160264
21.85,-2.859786E-02
21.9,-3.810725E-02
21.95,-0.0553639
22,-7.458768E-02
22.05,-0.1035401
22.1,-0.1325663
22.15,-0.1585778
22.2,0.1997348
22.25,2.031938
22.3,6.18343
22.35,12.25258
22.4,18.53755
22.45,22.64414
22.5,22.94601
22.55,19.34409
22.6,14.00457
22.65,8.884078
22.7,5.024655
22.75,2.611853
22.8,1.279315
22.85,0.5892828
22.9,0.2460303
22.95,8.440562E-02
23,0.0141471
23.05,-2.374861E-02
23.1,-5.221197E-02
23.15,-7.275753E-02
23.2,-0.0545289
23.25,-2.218703E-02
23.3,1.422539E-02
23.35,0.0716194
23.4,0.1284883
23.45,0.1755486
23.5,0.1821735
23.55,0.1613451
23.6,0.129668
23.65,9.676853E-02
23.7,7.411548E-02
