Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,100 ctrl
Number of Events,1060
 
Time,Value
17,-0.186672
17.05,-0.1777318
17.1,-0.1874116
17.15,-0.1985424
17.2,-0.1449858
17.25,-0.039115
17.3,8.391941E-02
17.35,0.1815563
17.4,0.1834914
17.45,9.433683E-02
17.5,-4.554527E-02
17.55,-8.388332E-02
17.6,-7.611176E-02
17.65,-5.386078E-02
17.7,-2.184702E-02
17.75,-2.291701E-02
17.8,-3.734694E-02
17.85,-7.154207E-03
17.9,6.608513E-02
17.95,0.093829
18,8.844204E-02
18.05,7.921945E-02
18.1,4.218904E-02
18.15,5.324431E-03
18.2,-2.215743E-02
18.25,-6.107588E-02
18.3,-0.1207859
18.35,-0.1355209
18.4,-0.109768
18.45,-8.994244E-02
18.5,-0.071047
18.55,-6.574815E-02
18.6,-7.270643E-02
18.65,-4.628851E-02
18.7,-2.533465E-02
18.75,-1.825782E-02
18.8,-3.566703E-02
18.85,-0.047261
18.9,-5.434524E-02
18.95,-4.159676E-02
19,-3.140109E-02
19.05,-3.883034E-02
19.1,-8.870818E-02
19.15,-0.1379334
19.2,-0.1694647
19.25,-0.1847911
19.3,-0.1647729
19.35,-0.1740552
19.4,-0.1566946
19.45,-0.1468831
19.5,-0.1427637
19.55,-0.1560043
19.6,-0.1681729
19.65,-0.1484374
19.7,-0.1164774
19.75,-8.877873E-02
19.8,-9.463166E-02
19.85,-0.1486998
19.9,-0.228941
19.95,-0.2793009
20,-0.289406
20.05,-0.2944765
20.1,-0.3026249
20.15,-0.3005696
20.2,-0.2869675
20.25,-0.2846548
20.3,-0.2719594
20.35,-0.2599183
20.4,-0.2743033
20.45,-0.2642176
20.5,-0.2334526
20.55,-0.2331045
20.6,-0.234585
20.65,-0.2178571
20.7,-0.19364
20.75,-0.1869167
20.8,-0.1604394
20.85,-0.1535351
20.9,-0.1837675
20.95,-0.2114226
21,-0.2274082
21.05,-0.2325336
21.1,-0.2326424
21.15,-0.2291308
21.2,-0.262324
21.25,-0.255339
21.3,-0.2137417
21.35,-0.1815289
21.4,-0.1377437
21.45,-9.168486E-02
21.5,-6.413773E-02
21.55,-7.216121E-02
21.6,-0.1021741
21.65,-0.1425594
21.7,-0.1820247
21.75,-0.2155861
21.8,-0.2477158
21.85,-0.2572835
21.9,-0.2344283
21.95,-0.2437027
22,-0.225239
22.05,-0.2111475
22.1,-0.2473904
22.15,-0.291589
22.2,3.854155E-02
22.25,1.699831
22.3,5.663394
22.35,11.63676
22.4,17.83008
22.45,22.02028
22.5,22.5384
22.55,19.16437
22.6,13.91294
22.65,8.787416
22.7,4.857603
22.75,2.324347
22.8,0.9700927
22.85,0.3354378
22.9,7.033683E-02
22.95,-0.0338755
23,-9.147305E-02
23.05,-0.1404833
23.1,-0.1772003
23.15,-0.2019627
23.2,-0.2304204
23.25,-0.2264971
23.3,-0.2071991
23.35,-0.1999619
23.4,-0.1766632
23.45,-0.1295275
23.5,-0.0887867
23.55,-4.071367E-02
23.6,9.207649E-03
23.65,2.368448E-02
23.7,2.330713E-03
23.75,-4.088729E-02
23.8,-0.0765183
23.85,-0.1001163
23.9,-6.312884E-02
23.95,-2.198445E-03
24,2.605711E-02
