Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,24h ng
Number of Events,1060
 
Time,Value
17,-0.1262501
17.05,-0.1254888
17.1,-0.127564
17.15,-0.1156713
17.2,-7.646809E-02
17.25,-2.838232E-02
17.3,1.908268E-02
17.35,4.170491E-02
17.4,0.0430389
17.45,1.880734E-02
17.5,2.656174E-02
17.55,5.131559E-02
17.6,8.120704E-02
17.65,0.1039522
17.7,9.221326E-02
17.75,4.078092E-02
17.8,5.128689E-03
17.85,3.020817E-03
17.9,4.103899E-03
17.95,-1.614768E-02
18,-4.389345E-02
18.05,-3.916317E-02
18.1,-1.445108E-03
18.15,5.399538E-02
18.2,6.250282E-02
18.25,0.0214122
18.3,-4.720332E-02
18.35,-9.465041E-02
18.4,-7.097039E-02
18.45,-3.842753E-02
18.5,-5.631884E-02
18.55,-9.758498E-02
18.6,-0.1243562
18.65,-0.1366588
18.7,-0.1260632
18.75,-9.779358E-02
18.8,-5.464341E-02
18.85,-0.0291746
18.9,-1.596037E-02
18.95,-3.204575E-02
19,-6.298988E-02
19.05,-6.780758E-02
19.1,-0.0762011
19.15,-5.734794E-02
19.2,-3.169164E-02
19.25,-2.289126E-02
19.3,-8.572127E-03
19.35,1.610226E-02
19.4,3.370607E-02
19.45,4.060169E-02
19.5,3.204737E-02
19.55,7.051963E-03
19.6,3.074021E-03
19.65,-2.338541E-02
19.7,-5.841975E-02
19.75,-8.443175E-02
19.8,-9.886801E-02
19.85,-0.1249434
19.9,-0.146142
19.95,-0.135227
20,-0.1306992
20.05,-0.1232367
20.1,-9.169643E-02
20.15,-6.699478E-02
20.2,-6.239232E-02
20.25,-6.353408E-02
20.3,-8.001512E-02
20.35,-0.1183363
20.4,-0.1621256
20.45,-0.1893583
20.5,-0.2137476
20.55,-0.2288836
20.6,-0.2168992
20.65,-0.1566161
20.7,-8.053061E-02
20.75,1.684825E-02
20.8,0.1242905
20.85,0.1857684
20.9,0.2163831
20.95,0.1780375
21,0.1061212
21.05,1.375591E-02
21.1,-6.393995E-02
21.15,-0.1169722
21.2,-0.1317621
21.25,-0.1427443
21.3,-0.1659223
21.35,-0.1767658
21.4,-0.1977468
21.45,-0.2126988
21.5,-0.2002319
21.55,-0.1627799
21.6,-0.1208141
21.65,-8.481518E-02
21.7,-6.696571E-02
21.75,-8.456102E-02
21.8,-0.1146251
21.85,-0.144137
21.9,-0.1576977
21.95,-0.1542868
22,-0.1393948
22.05,-0.1524233
22.1,-0.1970004
22.15,-0.2587489
22.2,-0.1548661
22.25,0.8504353
22.3,3.813604
22.35,8.829103
22.4,14.62956
22.45,19.19732
22.5,20.79251
22.55,18.6064
22.6,14.11524
22.65,9.251674
22.7,5.275277
22.75,2.579074
22.8,1.071
22.85,0.3867754
22.9,0.1036617
22.95,-0.031291
23,-9.014327E-02
23.05,-0.1099658
23.1,-0.1250369
23.15,-0.1156431
23.2,-6.399985E-02
23.25,2.824152E-02
23.3,0.1702734
23.35,0.3023195
23.4,0.3781105
23.45,0.35365
23.5,0.2645096
23.55,0.1770846
23.6,0.1424913
23.65,0.2044377
23.7,0.2489369
23.75,0.2604202
23.8,0.2298475
23.85,0.1709349
23.9,0.1202928
23.95,0.1008537
