Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,24h ctrl
Number of Events,1060
 
Time,Value
17,0.1047636
17.05,0.1104832
17.1,0.1135587
17.15,0.1209508
17.2,0.1326831
17.25,0.1285026
17.3,7.261555E-02
17.35,0.0299794
17.4,2.122809E-04
17.45,-3.879367E-03
17.5,-4.313914E-02
17.55,-9.423613E-02
17.6,-0.1348791
17.65,-0.1540417
17.7,-0.1338855
17.75,-0.0763156
17.8,-3.468215E-02
17.85,-4.683909E-02
17.9,-3.563375E-02
17.95,-2.945314E-02
18,-1.035601E-02
18.05,7.282528E-03
18.1,1.312581E-02
18.15,1.156865E-02
18.2,2.253329E-02
18.25,4.316317E-02
18.3,4.851297E-02
18.35,6.469551E-02
18.4,0.1123701
18.45,0.0999264
18.5,5.547411E-02
18.55,1.886922E-02
18.6,-1.389034E-02
18.65,-0.0306735
18.7,-5.890842E-02
18.75,-6.561852E-02
18.8,-5.194625E-02
18.85,-2.015683E-02
18.9,4.539743E-02
18.95,0.1110286
19,0.1179362
19.05,8.486732E-02
19.1,5.156889E-02
19.15,0.0667721
19.2,0.0669827
19.25,5.558826E-02
19.3,0.0158911
19.35,-0.0182197
19.4,-3.057639E-02
19.45,-4.660932E-02
19.5,-3.449038E-02
19.55,-2.699179E-03
19.6,7.987047E-02
19.65,0.2318683
19.7,0.4754372
19.75,0.7264591
19.8,0.9353899
19.85,1.088732
19.9,1.11143
19.95,0.9965202
20,0.7609244
20.05,0.5039545
20.1,0.2985892
20.15,0.164788
20.2,0.1051384
20.25,7.414261E-02
20.3,9.391138E-02
20.35,9.726332E-02
20.4,0.1023465
20.45,9.320397E-02
20.5,5.936329E-02
20.55,4.42747E-03
20.6,-5.446022E-02
20.65,-9.533408E-02
20.7,-0.1302612
20.75,-0.1479386
20.8,-0.1179403
20.85,-6.858534E-02
20.9,-4.631722E-02
20.95,-8.978691E-03
21,-1.043084E-03
21.05,-3.783944E-02
21.1,-0.0571568
21.15,-3.663457E-02
21.2,-1.220171E-02
21.25,-0.0122428
21.3,-1.484512E-02
21.35,-6.917182E-02
21.4,-0.1098733
21.45,-0.1207357
21.5,-7.202413E-02
21.55,-5.414653E-02
21.6,-5.209268E-02
21.65,-4.878729E-02
21.7,-1.772253E-02
21.75,3.172955E-02
21.8,5.324867E-02
21.85,4.920791E-02
21.9,-2.106632E-02
21.95,-0.1053911
22,-0.1708013
22.05,-0.1913676
22.1,-0.1959422
22.15,-0.2153322
22.2,6.473846E-02
22.25,1.679112
22.3,5.625992
22.35,11.51726
22.4,17.71594
22.45,21.878
22.5,22.36502
22.55,18.97392
22.6,13.73919
22.65,8.67516
22.7,4.820477
22.75,2.38997
22.8,1.097154
22.85,0.5098694
22.9,0.2760839
22.95,0.174643
23,0.1813562
23.05,0.2297921
23.1,0.2664424
23.15,0.3093881
23.2,0.3024971
23.25,0.243163
23.3,0.1823808
23.35,0.1519298
23.4,0.1234537
23.45,0.1245019
23.5,0.151676
23.55,0.139297
23.6,9.900713E-02
23.65,7.662158E-02
23.7,4.481868E-02
23.75,6.006308E-02
23.8,6.986186E-02
23.85,9.270884E-02
23.9,0.1004193
23.95,9.739136E-02
24,0.0650487
