Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,100 ng
Number of Events,1060
 
Time,Value
17,0.1158162
17.05,0.1086271
17.1,3.381035E-02
17.15,-1.705952E-02
17.2,-1.050862E-02
17.25,1.158045E-02
17.3,0.0258113
17.35,-0.0115906
17.4,-4.676482E-02
17.45,-5.061773E-02
17.5,-5.770238E-02
17.55,-6.031351E-02
17.6,-7.049079E-02
17.65,-7.739364E-02
17.7,-7.974005E-02
17.75,-2.797261E-02
17.8,7.110444E-02
17.85,6.881513E-02
17.9,0.0563574
17.95,6.369743E-02
18,7.579487E-02
18.05,0.1174243
18.1,0.1468249
18.15,0.1600152
18.2,9.545052E-02
18.25,6.583158E-02
18.3,6.606378E-02
18.35,5.219799E-02
18.4,4.875369E-02
18.45,2.673997E-02
18.5,2.199211E-02
18.55,2.581457E-02
18.6,3.842795E-02
18.65,5.186074E-02
18.7,1.985579E-02
18.75,1.903534E-03
18.8,8.167383E-03
18.85,2.938443E-02
18.9,9.75924E-03
18.95,-1.10428E-03
19,-1.078534E-02
19.05,-0.0131945
19.1,1.754307E-02
19.15,4.246882E-02
19.2,5.350124E-02
19.25,3.375334E-02
19.3,3.829331E-02
19.35,0.0889726
19.4,0.1259608
19.45,0.13634
19.5,0.1262359
19.55,0.1181092
19.6,8.036263E-02
19.65,6.331502E-02
19.7,7.412613E-02
19.75,5.418937E-02
19.8,2.648876E-02
19.85,2.593528E-02
19.9,3.459011E-02
19.95,3.023337E-02
20,4.698181E-02
20.05,7.242529E-02
20.1,7.094464E-02
20.15,7.327972E-02
20.2,6.693803E-02
20.25,5.538092E-02
20.3,3.353165E-02
20.35,6.512607E-03
20.4,-2.331477E-02
20.45,-3.262331E-02
20.5,-1.341269E-02
20.55,-1.060336E-02
20.6,-2.007996E-02
20.65,-3.582026E-02
20.7,-0.0723571
20.75,-0.1174322
20.8,-0.1366315
20.85,-0.1478768
20.9,-0.149127
20.95,-0.1351525
21,-8.543374E-02
21.05,-7.046293E-02
21.1,-5.345449E-02
21.15,-5.102369E-02
21.2,-0.0519362
21.25,-6.966935E-02
21.3,-0.1020642
21.35,-0.1190163
21.4,-0.1496674
21.45,-0.1252205
21.5,-0.112748
21.55,-5.624763E-02
21.6,-4.523924E-02
21.65,-5.521003E-02
21.7,-7.122891E-02
21.75,-9.169111E-02
21.8,-9.641302E-02
21.85,-9.843522E-02
21.9,-0.0695175
21.95,-6.155801E-02
22,-5.812015E-02
22.05,-5.987022E-02
22.1,-9.015521E-02
22.15,-0.1134122
22.2,0.1810443
22.25,1.837022
22.3,5.678687
22.35,11.29749
22.4,17.0414
22.45,20.74728
22.5,21.03073
22.55,17.62099
22.6,12.69437
22.65,7.984123
22.7,4.39286
22.75,2.123182
22.8,0.9016716
22.85,0.3509633
22.9,8.422199E-02
22.95,-2.463103E-02
23,-6.531172E-02
23.05,-0.0850919
23.1,-2.560325E-02
23.15,1.379539E-02
23.2,0.0390036
23.25,0.0342453
23.3,3.794103E-02
23.35,6.085262E-02
23.4,9.288763E-02
23.45,0.1262099
23.5,0.1195911
23.55,0.1120314
23.6,9.643685E-02
23.65,0.108751
23.7,9.664372E-02
23.75,0.1066488
23.8,0.1116869
